[2023-09-02 10:35:11,932: INFO: 345487086: Data ingestion successful.]
[2023-09-02 10:35:13,611: INFO: 580182248: Colum dropping successful.]
[2023-09-02 10:35:13,630: INFO: 580182248: Label encoding successful.]
[2023-09-02 10:35:13,636: INFO: 4176965535: Data Preproessing successful.]
[2023-09-02 10:35:13,648: INFO: 4176965535: Data dividing successful.]
[2023-09-02 10:35:14,446: INFO: 1321146974: Training Model RandomForestClassifier]
[2023-09-02 10:35:14,906: INFO: 3134255834: Model RandomForestClassifier training successful.]
[2023-09-02 10:35:14,909: INFO: 1321146974: Optimizing hyperparameters for RandomForestClassifier]
[2023-09-02 10:35:33,940: INFO: 3134255834: Hyperparameter tuning for RandomForestClassifier successful.]
[2023-09-02 10:35:33,973: INFO: 1321146974: Training Model DecisionTreeClassifier]
[2023-09-02 10:35:33,979: INFO: 3134255834: Model DecisionTreeClassifier training successful.]
[2023-09-02 10:35:33,980: INFO: 1321146974: Optimizing hyperparameters for DecisionTreeClassifier]
[2023-09-02 10:35:34,218: INFO: 3134255834: Hyperparameter tuning for DecisionTreeClassifier successful.]
[2023-09-02 10:35:34,226: INFO: 1321146974: Training Model GradientBoostingClassifier]
[2023-09-02 10:35:34,319: INFO: 3134255834: Model GradientBoostingClassifier training successful.]
[2023-09-02 10:35:34,320: INFO: 1321146974: Optimizing hyperparameters for GradientBoostingClassifier]
[2023-09-02 10:35:37,282: INFO: 3134255834: Hyperparameter tuning for GradientBoostingClassifier successful.]
[2023-09-02 10:35:37,293: INFO: 1321146974: Training Model KNeighborsClassifier]
[2023-09-02 10:35:37,298: INFO: 3134255834: Model KNeighborsClassifier training successful.]
[2023-09-02 10:35:37,300: INFO: 1321146974: Optimizing hyperparameters for KNeighborsClassifier]
[2023-09-02 10:35:37,902: INFO: 3134255834: Hyperparameter tuning for KNeighborsClassifier successful.]
[2023-09-02 10:35:37,982: INFO: 1321146974: Best model saved as '../saved_model/RandomForestClassifier_best_model.pkl']
[2023-09-02 10:35:38,874: INFO: 3562115558: Entered the calculate_score method of the Accuracy class]
[2023-09-02 10:35:38,876: INFO: 3562115558: The accuracy score value is: 1.0]
[2023-09-02 10:35:38,878: INFO: 3562115558: Entered the calculate_score method of the Precision class]
[2023-09-02 10:35:38,885: INFO: 3562115558: The precision score value is: 1.0]
[2023-09-02 10:35:38,888: INFO: 3562115558: Entered the calculate_score method of the Recall class]
[2023-09-02 10:35:38,893: INFO: 3562115558: The recall score value is: 1.0]
[2023-09-02 10:35:38,895: INFO: 3562115558: Entered the calculate_score method of the F1Score class]
[2023-09-02 10:35:38,900: INFO: 3562115558: The F1 score value is: 1.0]
[2023-09-02 10:35:39,398: INFO: 2467076325: Training Model RandomForestClassifier]
[2023-09-02 10:35:39,645: INFO: 2467076325: Model training successful.]
[2023-09-02 10:35:47,739: INFO: 2467076325: Hyperparameter tuning successful.]
